Section,Output Number,Shell Template,Subgroup (from programming),Output File Name (from programming),Program Name (from programming),Analysis Set,Title,Footnote,Notes,__PowerAppsId__
Adverse Events,14.3.3.x,T_AE1_ALL_DC_CMBO,,t_14-3-3-x_ae1_all_dc_cmbo_,t_ae1_all_dc_cmbo_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawal of All Treatments by Preferred Term,N: number of participants; n: number of participants with event. \ Participants who permanently withdrew all components of a treatment regimen due to the same AE are summarized.\MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,141881ff-418d-4db0-9a34-97d379f5c616
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_3_,t_ae1_3_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawl of Treatment  <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,e92132e0-0d78-4ac2-9f01-d01814b8d8bc
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_4_,t_ae1_4_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Interruption of <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,3093828e-6fd3-4e60-8d66-07593171840e
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_5_,t_ae1_5_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Reduction of <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,809c356c-7aa5-47e3-8524-b29b5479ba72
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_6_,t_ae1_6_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Dose Delay of <Treatment Component >by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,51f77e22-c136-444a-ae00-82a14283df2d
Adverse Events,14.3.3.x,T_EAIR,,t_14-3-3-x_eair_,t_eair_,<Analysis Set>,Exposure-Adjusted Incidence Rates for <Treatment-Emergent Adverse Events>,"CI: confidence interval; EAIR: exposure adjusted incidence rate per 100 participant-years; N: number of participants; PY:\total participant years; n: number of participants with events; PYR: number of participant years at risk. MedDRA version: \26.0. \ PY is calculated as <total time (in years) of the treatment-emergent follow-up time of all participants. >\PYR is calculated as <total time (in years) of all patients from the first dose date to the first event date, or the \treatment-emergent follow-up time if there are no event.> EAIR is calculated as 100 times the number of participants \experiencing the adverse event divided by PYR.",,055ab3b8-daf3-45b0-b636-123edc10d721
Adverse Events of Special Interest,14.3.3.x,T_AESI_OV,,t_14-3-3-x_aesi_ov_,t_aesi_ov_,<Analysis Set>,"Overview of Adverse Events of Special Interest (Any Grade, Grade 3-4)",AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,,ae5849cf-f9c3-4871-8da8-cc88b9cd4ffd
Adverse Events of Special Interest,14.3.3.x,T_AESI_PT,,t_14-3-3-x_aesi_pt_,t_aesi_pt_,<Analysis Set>,"Adverse Events of Special Interest by Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0. MedDRA version: 26.0.,,f8f8347d-1e58-4433-9b5a-4b0d77b7b21a
Adverse Events of Special Interest,14.3.3.x,T_AESI,,t_14-3-3-x_aesi_,t_aesi_,<Analysis Set>,Adverse Events of Special Interest Assessment: <AESI1>,N: number of participants; PD: progression of disease; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Accounting for competing risks of death and PD . \^{super 2} Resolved is defined as outcome = recovered/resolved.,,8112f49d-bc77-4766-a180-922adeae312c
Adverse Events of Special Interest,14.3.3.x,T_AESI_REC,,t_14-3-3-x_aesi_rec_,t_aesi_rec_,<Analysis Set>,Recurrence of Adverse Events of Special Interest Assessment: <AESI1>,N: number of participants; TE: treatment-emergent; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Resolved is defined as outcome = <recovered/resolved>; number of events is used as the denominator.,,e83de635-c586-4100-82e0-3159e7a359f9
Adverse Events of Special Interest,14.3.3.x,T_AESI_REC_INT,,t_14-3-3-x_aesi_rec_int_,t_aesi_rec_int_,<Analysis Set>,Incidence of Participants with Recurrent <AESI> Events by Time Interval,AESI: adverse events of special interest; N: number of participants; NAR: number at risk; n: number of participants with\ event. \NAR includes the number of participants who enter the time interval specified. Participants with/without an event in\ the prior intervals are included. n includes the number of participants with at least one event in the time interval\specified.,,7142a62a-cccf-491e-9ec0-7a5911de5918
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_1_,t_ae_subgp_1_,<Analysis Set>,Overview of Adverse Events by Demographic Subgroup (Sex),Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,,440a4ff4-2659-4ba6-84c9-2358159ce13b
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_2_,t_ae_subgp_2_,<Analysis Set>,"Overview of Adverse Events by Demographic Subgroup (Age Group, Years)",Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,,cda06dd8-d19c-4987-b773-c3e731dab2f3
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_3_,t_ae_subgp_3_,<Analysis Set>,Overview of Adverse Events by Demographic Subgroup (Race),Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,,99eef3cf-a904-422b-89ac-112711e2ee5e
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_4_,t_ae_subgp_4_,<Analysis Set>,Overview of Adverse Events by Demographic Subgroup (Ethnicity),Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,,4048af55-726a-4c23-b5a0-87c96176c80c
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_1_,t_aesi_subgp_1_,<Analysis Set>,Overview of Adverse Events of Special Interest by Demographic Subgroup (Sex),AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,,37436fe8-1a04-4f1f-8ba0-80f611567ec2
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_2_,t_aesi_subgp_2_,<Analysis Set>,"Overview of Adverse Events of Special Interest by Demographic Subgroup (Age Group, Years)",AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,,c02b31ca-bb42-47d4-ba1a-83502f2c3f6f
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_3_,t_aesi_subgp_3_,<Analysis Set>,Overview of Adverse Events of Special Interest by Demographic Subgroup (Race),AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,,6fae11f9-b47a-4134-a80f-b6912e2cc34c
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_4_,t_aesi_subgp_4_,<Analysis Set>,Overview of Adverse Events of Special Interest by Demographic Subgroup (Ethnicity),AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,,82a710c3-8923-42c5-9113-920ceb163cfb
Deaths,14.3.3.x,T_DEATH,,t_14-3-3-x_death_,t_death_,<Analysis Set>,Deaths,N: number of participants; n: number of participants with event. \^{super 1} <period of interest> is defined as <definition>.,,846f479a-4d09-418e-92fb-8ccdf17912f5
Labs,14.3.4.x,T_LB,,t_14-3-4-x_lb_,t_lb_,<Analysis Set>,Laboratory Abnormalities Worsened from Baseline,Each test incidence is based on the number of participants who had both baseline and at least on postbaseline laboratory\measurement available.\Lab abnormality based on CTCAE Version 5.0 with grade assigned on lab data only. Clinical assessments or other\information were not considered. Post-baseline grades worsened from baseline were summarized.,,dc42b2bc-9481-4414-816b-b58528b3ae82
Labs,14.3.4.x,T_TEABN,,t_14-3-4-x_teabn_1_,t_teabn_1_,<Analysis Set>,Shifts from Baseline in CTCAE Grades in Lab Measurements,"N: number of participants; NAR: number at risk (with both a baseline and postbaseline measurement); n: number of \participants meeting criteria. \Severity Scale: CTCAE Version 5.0.  \The worst value for each abnormality was considered per participant. \^{super 1} Lab abnormality is based on CTCAE grading that is assigned based on lab data only and does not consider \associated clinical assessments or other information. \^{super 2} For Lab abnormalities with undefinable baseline CTCAE grades, postbaseline severity grades are presented.",,f64a28fc-aa05-4321-8f9d-55ebefddaa6a
Labs,14.3.4.x,T_SHIFT,,t_14-3-4-x_shift_,t_shift_,<Analysis Set>,Shift from Baseline in CTCAE Grade (Grades 1-4) in Lab Measurements,N: total number of participants; n: number of participants meeting criteria. \Severity Scale: CTCAE Version 5.0.  \The worst value for each abnormality was considered per participant. \Grade 0 assigned to non-missing values that do not meet the criteria for Grade 1 or higher in the direction of interest  \ (i.e. may include abnormal values in the opposite direction). \Percentages are based on the total number of participants. \^{super 1} Lab abnormality is based on CTCAE grading that is assigned based on lab data only and does not consider associated clinical \assessments or other information.,,636f0d71-a9bb-4251-b450-c629986853a7
Labs,14.3.4.x,T_TEABN,,t_14-3-4-x_teabn_2_,t_teabn_2_,<Analysis Set>,Shifts from Baseline based on Normal Reference Ranges for Select Lab Tests,N:total number of participants; NAR: number at risk (with both a baseline and postbaseline measurement); n: \number of participants in the specified category. \Select lab tests: those that cannot be graded per CTCAE Version 5.0.  \Abnormality Criteria: normal reference range. \Direction of Abnormality - Low: baseline value is normal or high and minimum postbaseline value is low; High:\baseline value is normal or low and maximum postbaseline value is high.,,8a5bf6bd-eee2-42dc-8ba8-6728faa5d7b6
Labs,14.3.4.x,T_LB_CHGBL,,t_14-3-4-x_lb_chgbl_,t_lb_chgbl_,<Analysis Set>,Mean Change from Baseline Over Time in Lab Measurements,"N: number of participants; SE: standard error; n: number of participants with a measurement. \^{super 1} The timeframe (e.g., by day, week, month) that corresponds best with the prespecified visit # is used as the study \visit (+/- protocol-defined # days).",,ac0a0687-a1ab-4876-ba6a-5897e758433d
Labs,14.3.4.x,T_DILI,,t_14-3-4-x_dili_,t_dili_,<Analysis Set>,Liver Function Test Abnormalities Postbaseline,"ALT: Alanine transaminase; AST: aspartate aminotransferase; ALP: Alkaline phosphatase; N: number of \participants; NAR: number at risk, TBILI: Total bilirubin; n: number of participants meeting criteria. \The worst value is considered per participant. \^{super 1} Any postbaselin1e total bilirubin equal to or exceeding 2 x ULN within 30 days after a postbaseline ALT or AST \equal to or exceeding 3 x ULN. \^{super 2} Any postbaseline total bilirubin equal to or exceeding 2 x ULN within 30 days after a postbaseline ALT or AST \equal to or exceeding 3 x ULN, and ALP <2 x ULN (all ALP values during the period of elevation; missing ALPs are \included).",,87e44f9c-a439-48d1-9e4c-9d73c72bb16f
Vitals,14.3.5.x,T_TEABN,,t_14-3-5-x_teabn_3_,t_teabn_3_,<Analysis Set>,Clinically Meaningful Shifts from Baseline in Vital Signs,N: total number of participants; NAR: number at risk(with both a baseline and postbaseline measurement); n: \number of participants in the specified category. \Low: baseline value is normal or high and minimum postbaseline value is low. \High: baseline value is normal or low and maximum postbaseline value is high.,,7af6a52d-5174-4c6f-bdb3-1b8e4c198133
Vitals,14.3.5.x,T_CHGBL,,t_14-3-5-x_chgbl_,t_chgbl_,<Analysis Set>,Mean Change from Baseline Over Time in Vital Signs,"N: number of participants; SE: standard error; n: number of participants with a measurement. \^{super 1} The timeframe (e.g., by day, week, month) that corresponds best with the prespecified visit # is used as the study \visit (+/- protocol-defined # days).",,76dd1df8-9792-42b5-8d50-e7b57411a8bc
ECG,14.3.5.x,T_ABN,,t_14-3-5-x_abn_,t_abn_,<Analysis Set>,Electrocardiogram QTcF Measurements Meeting Specified Criteria Postbaseline,"N: number of participants; NAR: number at risk (for QTcF Interval, a participant with a postbaseline \measurement; for an increase from baseline, a participant with both a baseline and postbaseline measurement); n: \number of participants meeting criteria. \The investigator assessment is used.    If triplicate measurements are taken, the average of these three \consecutive results is used as the value assessed.  The maximum value is considered per participant.",,46155d19-3fb9-4eb9-8cd8-aadf05db46b4
Efficacy-KM,14.2.x,F_KM,,f_14-2-x_km_1_,f_km_1_,<analysis set>,Kaplan-Meier Plot of Progression-Free Survival (PFS) <by BICR/Investigator> per RECIST 1.1,BICR: Blinded Independent Central Review,,b701d261-62d2-473c-bd17-5882e6bbe918
Efficacy-KM,14.2.x,F_KM,,f_14-2-x_km_2_,f_km_2_,<analysis set>,Kaplan-Meier Plot of Overall Survival (OS),BICR: Blinded Independent Central Review,,b1f1e23e-0aa2-4c9d-98e7-80bf139adaf3
Efficacy-Forest,14.2.x,F_FOREST_ORR,,f_14-2-x_forest_orr_2_,f_forest_orr_2_,<analysis set>,Forest Plot of Progression-Free Survival (PFS) <by BICR/Investigator> by Subgroups,,,c71fe62a-40dc-4f70-baf4-10013defe953
Efficacy-Forest,14.2.x,F_FOREST_ORR,,f_14-2-x_forest_orr_3_,f_forest_orr_3_,<analysis set>,Forest Plot of Overall Survival by Subgroups,,,29b566f9-0ca4-4946-ab88-a664e0c81adf
Efficacy-Forest,14.2.x,F_FOREST_ORR,,f_14-2-x_forest_orr_1_,f_forest_orr_1_,,Forest Plot of Objective Response (ORR) <by BICR/Investigator>by Subgroups,,,01e3f2c7-5137-4543-ac19-691091d735f1
Efficacy-Forest,14.2.x,F_FOREST_ORR,,f_14-2-x_forest_orr_4_,f_forest_orr_4_,<analysis set>,Forest Plot of Progression-Free Survival (PFS) Sensitivity Analyses and Alternative Estimands,,,96c96a85-a6f0-4b2d-bfa9-a64dc68e39a3
Efficacy-Cumulative Incidence,14.2.x,F_CICR,,f_14-2-x_cicr_1_,f_cicr_1_,<analysis set>,Cumulative Incidence of Death,,,85c1d797-f666-42c1-ada1-57b8345a7018
Efficacy-Waterfall,14.2.x,"F_WATERFALL, F_WATERFALL2",,"f_14-2-x_waterfall, f_waterfall2_","f_waterfall, f_waterfall2_",<analysis set>,Waterfall Plot of Target Lesion Sum of Diameters (SOD) <by BICR/Investigator> per RECIST 1.1,BICR: Blinded Independent Central Review,,6eae6483-8df9-4dec-adce-2943a8f09478
Efficacy-Spaghetti,14.2.x,F_SPAGHETTI,,f_14-2-x_spaghetti_,f_spaghetti_,<analysis set>,Percent Change from Baseline in Sum of Target Lesions Over Time <by BICR/Investigator> per RECIST 1.1,,,52c0e4d5-c138-4a09-95ce-339ab9848e81
Efficacy-Swimlane,14.2.x,F_SWIMLANE,,f_14-2-x_swimlane_,f_swimlane_,<analysis set>,"Swim Lane Plot of Drug Exposure, Follow-up, and Tumor Respose by Investigator",BOR: best overall response.,,e07e86f2-8866-4b23-9dd9-42e934d9df79
Efficacy-Swimlane,14.2.x,F_SWIMLANE2,,f_14-2-x_swimlane2_,f_swimlane2_,<analysis set>,Swim Lane Plot of Duration of Exposure to <Study Treatment> by Dose,BOR: best overall response.,,4e871cf0-7c45-4069-aea7-ac8da44c8a89
Adverse Events and Deaths-Cumulative Incidence,14.3.x,F_CICR,,f_14-3-x_cicr_2_,f_cicr_2_,<analysis set>,Cumulative Incidence (accounting for Competing Risks of Death and Disease Progression) of Time to Adverse Event Leading to Permanent Withdrawal of Treatment,,,790c627f-48b9-4355-8d4e-85fef070265a
Adverse Events of Special Interest-Cumulative Incidence,14.3.x,F_CICR,,f_14-3-x_cicr_3_,f_cicr_3_,<analysis set>,Cumulative Incidence (accounting for Competing Risks of Death and Disease Progression) of Time to First Onset of <AESI>,,,75e92829-53ab-42e5-b1dc-74a62c49d090
Adverse Events and Deaths-Forest Plot,14.3.x,F_FRST_SAF,,f_14-3-x_frst_saf_,f_frst_saf_,<analysis set>,Forest Plot of Particpants with Treatment-Emergent Adverse Events (X%) in Any Treatment Arm,,,25f9141f-9a61-428f-9bdd-b65b9938e332
Adverse Events and Deaths-Tornado Plot,14.3.x,F_TNDO_SAF,,f_14-3-x_tndo_saf_,f_tndo_saf_,<analysis set>,Tornado Plot of Particpants with Treatment-Emergent Adverse Events (X%) in Any Treatment Arm,,,894a174c-67c9-4a64-9413-0f9bd3bb8144
Labs-Box Plot,14.3.x,F_BOX,,f_14-3-x_box_1_,f_box_1_,<analysis set>,Box Plot of Change from Baseline Over Time in Laboratory Measurements,,,5a90793f-a8c7-4967-adf7-83dee325e4b1
Labs-Box Plot,14.3.x,F_BOX,,f_14-3-x_box_2_,f_box_2_,<analysis set>,Box Plot of Observed Values Over Time in Laboratory Measurements,,,58b71c2d-c304-4c07-ba21-593c01203b9e
Vitals-Box Plot,14.3.x,F_BOX,,f_14-3-x_box_3_,f_box_3_,<analysis set>,Box Plot of Change from Baseline Over Time in Vital Signs,,,fec0236d-d7f1-459e-ba6f-ce90f1bdf8f0
Vitals-Box Plot,14.3.x,F_BOX,,f_14-3-x_box_4_,f_box_4_,<analysis set>,Box Plot of Observed Values Over Time in Vital Signs,,,db54b9f3-a347-4bd7-b1cd-06534ad85eaf
Adverse Events and Deaths,,L_AESER,,,,,Serious Adverse Events,"SAEs: serious adverse events. \Severity Scale: CTCAE Version 5.0.  MedDRA version: <26.0>\SAEs occurring at any time during the study are included. \^{super 1} Day relative to first dose date: For date before first dose date, day is defined as: (Date - First Dose Date). For \date on or after first dose date, day is defined as: (Date - First Dose Date + 1). \^{super 2} Day relative to last dose date: For date before last dose date, day is defined as: (Date - Last Dose Date). For date\ on or after last dose date, day is defined as: (Date - Last Dose Date + 1).",,ca28df26-87c6-45d5-926f-6d1e97a54f6a
Adverse Events of Special Interest,,L_AESI,,,,,Adverse Events of Special Interest,"AESI: adverse events of special interest. \Severity Scale: CTCAE Version 5.0.  MedDRA version: <26.0>\AESIs occurring at any time on or after the first dose are included. \^{super 1} Day relative to first dose date: For date before first dose date, day is defined as: (Date - First Dose Date). For \date on or after first dose date, day is defined as: (Date - First Dose Date + 1). \^{super 2} Day relative to last dose date: For date before last dose date, day is defined as: (Date - Last Dose Date). For date\ on or after last dose date, day is defined as: (Date - Last Dose Date + 1).",,847b0c44-0f56-44cd-ab03-134e0f863045
Adverse Events and Deaths,,L_AEWTH,,,,,Adverse Events Leading to Permanent Withdrawal of Any Treatment,"Severity Scale: CTCAE Version 5.0.  MedDRA version: <26.0>\^{super 1} Day relative to first dose date: For date before first dose date, day is defined as: (Date - First Dose Date). For \date on or after first dose date, day is defined as: (Date - First Dose Date + 1). \^{super 2} Day relative to last dose date: For date before last dose date, day is defined as: (Date - Last Dose Date). For date\ on or after last dose date, day is defined as: (Date - Last Dose Date + 1).",,c5c2cb93-8d0e-4c33-95b0-b9fff3fa6fce
Adverse Events and Deaths,,L_AEDTH,,,,,Adverse Events Leading to Death,"MedDRA version: <26.0>\^{super 1} Day relative to first dose date: For date before first dose date, day is defined as: (Date - First Dose Date). For \date on or after first dose date, day is defined as: (Date - First Dose Date + 1). \^{super 2} Day relative to last dose date: For date before last dose date, day is defined as: (Date - Last Dose Date). For date\ on or after last dose date, day is defined as: (Date - Last Dose Date + 1).",,81c8830c-0ab5-4997-acc8-178f79836928
Randomization,,L_RAND,,,,,Randomization Scheme and Codes,"IxRS: Interactive Voice/Web Response System. \For participants who received treatment as randomized, a single treatment is displayed.",,5e07074a-c374-43a0-b55c-a97ac22467d6
"Demographics, Baseline Characteristics",,L_DEMOG,,,,,Demographics,^{super 1}Age at informed consent.,,408bcc62-55d4-4e80-9c7e-0ca738d0d3dd
"Demographics, Baseline Characteristics",,L_BASE,,,,,Baseline Characteristics,,,c020285e-721a-4eed-abb0-c5d7ed5b96b7
Disposition,,L_WITHD,,,,,Study and Treatment Withdrawals,^{super *}Date of Death.,,83f1769d-c97a-4cd9-aa10-288959c0b934
Eligibility Violations and Protocol Deviations,,L_PD,,,,,Important Protocol Deviations,"^{super 1}For deviation date before first dose date, study day is defined as: (Deviation Date - First Dose Date). For deviation date\on or after first dose date, study day is defined as: (Deviation Date - First Dose Date + 1).",,3ad504f2-cb1b-4133-b928-fc03082211f5
Randomization,,L_MEDLOT,,,,,Study Medication Lot Number by Subject,^{super 1}The first xx digits indicate the Site ID.,,89bb1918-564c-41d5-a72d-9521274d521a
