ID,Name,NCI Codelist Code,Data_Type,Term,NCI Term Code,Decoded_Value,Numeric_Value,Order,Notes,XL Comments
PARBASE,ADBASE Parameters,,text,TOTGLSC,,Total Gleason Score,27,27,,
PARBASE,ADBASE Parameters,,text,TSITEBL,,Num of Tumor Sites at BL,28,28,,
PARBASE,ADBASE Parameters,,text,TUMOR,,Pathological Diagnosis Tumor Type,29,29,,
PARBASE,ADBASE Parameters,,text,TUMORSP,,"Tumor Other, Specify",30,30,,
PARCH,ADCH Parameters,,text,BONEDXYN ,,Bone-Only Disease ,1,1,,"ML 03/30/2023: Codelist is incorrect for 092-002 study. Please update as per the study.
MS 04/03/2023: Updated"
PARCH,ADCH Parameters,,text,BRMYN    ,,Brain\cranial Metastases Present? ,2,2,,
PARCH,ADCH Parameters,,text,CDHSFYN  ,,Sarcomatoid Feature ,3,3,,
PARCH,ADCH Parameters,,text,CHDTC    ,,Date/Time of Initial Diagnosis ,4,4,,
PARCH,ADCH Parameters,,text,HISTSP   ,,"Histology Other, Specify ",5,5,,
PARCH,ADCH Parameters,,text,HISTTYPC ,,Histology Type ,6,6,,
PARCH,ADCH Parameters,,text,IMDCPSC  ,,IMDC Prognostic Score ,7,7,,
PARCH,ADCH Parameters,,text,LDRPDDTC ,,Date of Recurrence/Progression ,8,8,,
PARCH,ADCH Parameters,,text,MCRPCDTC ,,Date/Time of Diagnosis of MCRPC ,9,9,,
PARCH,ADCH Parameters,,text,PACYN   ,,Diagnosed with Prostate Adenocarcinoma ,10,10,,
PARCH,ADCH Parameters,,text,PRGLSC  ,,Primary Gleason Score at Diagnosis ,11,11,,
PARCH,ADCH Parameters,,text,PSAPDYN ,,PSA Progression at Screening ,12,12,,
PARCH,ADCH Parameters,,text,RNLPRYN ,,Nephrectomy Performed ,13,13,,
PARCH,ADCH Parameters,,text,SEGLSC  ,,Secondary Gleason Score at Diagnosis ,14,14,,
PARCH,ADCH Parameters,,text,STAGE   ,,Current Disease Stage / Cancer Stage ,15,15,,
PARCH,ADCH Parameters,,text,STPDYN  ,,Soft Tissue PD at Screening ,16,16,,
PARCH,ADCH Parameters,,text,SUBTUMOR,,Tumor Sub Type ,17,17,,
PARCH,ADCH Parameters,,text,TOTGLSC ,,Total Gleason Score ,18,18,,
PARCH,ADCH Parameters,,text,TUMOR   ,,Pathological Diagnosis Tumor Type ,19,19,,
PARCH,ADCH Parameters,,text,TUMORSP ,,"Tumor Other, Specify ",20,20,,
PARCH,ADCH Parameters,,text,CDHSFP,,Percentage of Sarcomatoid Feature,21,21,,
PARCH,ADCH Parameters,,text,PDL1YN,,Previous Immune Checkpoint Inhibitor,22,22,,
PAREX,ADEX Parameters,,text,TDDOSE,,Total Daily Dose (mg),1,1,,
PAREXS,ADEXSUM Parameters,,text,XLTRDURD,,Duration of Exposure for XL092 (Days),1,1,,
PAREXS,ADEXSUM Parameters,,text,XLTRDURM,,Duration of Exposure for XL092 (Months),2,2,,
PAREXS,ADEXSUM Parameters,,text,XLCUMDOS,,Cumulative Dose of XL092 (mg),3,3,,
PAREXS,ADEXSUM Parameters,,text,XLDOSAVG,,Average Daily Dose of XL092 (mg/day),4,4,,
PAREXS,ADEXSUM Parameters,,text,XLDOSINT,,Percent Dose Intensity for XL092 (%),5,5,,
PAREXS,ADEXSUM Parameters,,text,DURTDH,,Duration of Total Dose Hold (Days),6,6,,
PAREXS,ADEXSUM Parameters,,text,DUREHLD,,Duration of Exp Exc. Dose Hold (Months),7,7,,
PAREXS,ADEXSUM Parameters,,text,XLADINT,,Actual Dose Int XL092 (mg/week),8,8,,
PAREXS,ADEXSUM Parameters,,text,XAEREDS,,Number of AE Dose Reductions for XL093,9,9,,
PAREXS,ADEXSUM Parameters,,text,XNDOSRED,,Number of Dose Reductions for XL093,10,10,,
PAREXS,ADEXSUM Parameters,,text,XTT1RED,,Time to 1st Dose Red for XL092 (Days),11,11,,
PAREXS,ADEXSUM Parameters,,text,XAEHLDS,,Number of AE Dose Holds for XL093,12,12,,
PAREXS,ADEXSUM Parameters,,text,XNDOSHLD,,Number of Dose Holds for XL093,13,13,,
PAREXS,ADEXSUM Parameters,,text,XTT1HLD,,Time to 1st Dose Hold for XL092 (Days),14,14,,
PAREXS,ADEXSUM Parameters,,text,NMODANYX,,Number of Any XL092 Dose Mods ,15,15,,
PAREXS,ADEXSUM Parameters,,text,NMODAEX,,Number of Any XL092 Dose Mods due to AE,16,16,,
PAREXS,ADEXSUM Parameters,,text,XTTFMOD,,Time to 1st XL092 Dose AE Mod (Days),17,17,,
PAREXS,ADEXSUM Parameters,,text,LOWDOSE,,Lowest Non-zero Dose Received,18,18,,
PAREXS,ADEXSUM Parameters,,text,TT1HLD07,,Time to 1st 7 day AE Dose Hold (Days),19,19,,
PAREXS,ADEXSUM Parameters,,text,TT1HLD14,,Time to 1st 14 day AE Dose Hold (Days),20,20,,
PAREXS,ADEXSUM Parameters,,text,TT1HLD21,,Time to 1st 21 day AE Dose Hold (Days),21,21,,
PAREXS,ADEXSUM Parameters,,text,NVTRDURD,,Duration of Exposure for Nivolumab (Days),22,22,,
PAREXS,ADEXSUM Parameters,,text,NVTRDURM,,Duration of Exposure for Nivolumab (Months),23,23,,
PAREXS,ADEXSUM Parameters,,text,NVCUMDOS,,Cumulative Dose of Nivolumab (mg),24,24,,
PAREXS,ADEXSUM Parameters,,text,NVNUMINF,,Number of Infusions of Nivolumab ,25,25,,
PAREXS,ADEXSUM Parameters,,text,NVNEXINF,,Number of Expected Infusions of Nivolumab ,26,26,,
PAREXS,ADEXSUM Parameters,,text,NVEXCDOS,,Cumulative Expected Dose for Nivolumab (mg),27,27,,
PAREXS,ADEXSUM Parameters,,text,NVDOSINT,,Percent Dose Intensity For Nivolumab (%),28,28,,
PAREXS,ADEXSUM Parameters,,text,NVADINT,,Actual Dose Int Nivolumab (mg/week),29,29,,
PAREXS,ADEXSUM Parameters,,text,NAEREDS,,Number of AE Dose Reductions for Nivo,30,30,,
PAREXS,ADEXSUM Parameters,,text,NNDOSRED,,Number of Dose Reductions for Nivo,31,31,,
PAREXS,ADEXSUM Parameters,,text,NTT1RED,,Time to 1st Dose Red for Nivo (Days),32,32,,
PAREXS,ADEXSUM Parameters,,text,NAEHLDS,,Number of AE Dose Holds for Nivo,33,33,,
PAREXS,ADEXSUM Parameters,,text,NNDOSHLD,,Number of Dose Holds for Nivo,34,34,,
PAREXS,ADEXSUM Parameters,,text,NTT1HLD,,Time to 1st Dose Hold for Nivo (Days),35,35,,
PAREXS,ADEXSUM Parameters,,text,NMODANYN,,Number of Any Nivo Dose Mods ,36,36,,
PAREXS,ADEXSUM Parameters,,text,NMODAEN,,Number of Any Nivo Dose Mods due to AE,37,37,,
PAREXS,ADEXSUM Parameters,,text,NTTFMOD,,Time to 1st Nivo Dose AE Mod (Days),38,38,,
PAREXS,ADEXSUM Parameters,,text,IPTRDURD,,Duration of Exposure for Ipilimumab (Days),39,39,,
PAREXS,ADEXSUM Parameters,,text,IPTRDURM,,Duration of Exposure for Ipilimumab (Months),40,40,,
PAREXS,ADEXSUM Parameters,,text,IPCUMDOS,,Cumulative Dose of Ipilimumab (mg),41,41,,
PAREXS,ADEXSUM Parameters,,text,IPNUMINF,,Number of Infusions of Ipilimumab ,42,42,,
PAREXS,ADEXSUM Parameters,,text,IPDOSAVG,,Average dose per Infusion Ipilimumab (mg/infusion) ,43,43,,
PAREXS,ADEXSUM Parameters,,text,IPDOSINT,,Percent Dose Intensity For Ipilimumab (%),44,44,,
PAREXS,ADEXSUM Parameters,,text,IAEREDS,,Number of AE Dose Reductions for Ipi,45,45,,
PAREXS,ADEXSUM Parameters,,text,INDOSRED,,Number of Dose Reductions for Ipi,46,46,,
PAREXS,ADEXSUM Parameters,,text,ITT1RED,,Time to 1st Dose Red for Ipi (Days),47,47,,
PAREXS,ADEXSUM Parameters,,text,IAEHLDS,,Number of AE Dose Holds for Ipi,48,48,,
PAREXS,ADEXSUM Parameters,,text,INDOSHLD,,Number of Dose Holds for Ipi,49,49,,
PAREXS,ADEXSUM Parameters,,text,ITT1HLD,,Time to 1st Dose Hold for Ipi (Days),50,50,,
PAREXS,ADEXSUM Parameters,,text,NMODANYI,,Number of Any Ipi Dose Mods ,51,51,,
PAREXS,ADEXSUM Parameters,,text,NMODAEI,,Number of Any Ipi Dose Mods due to AE,52,52,,
PAREXS,ADEXSUM Parameters,,text,ITTFMOD,,Time to 1st Ipi Dose AE Mod (Days),53,53,,
PAREXS,ADEXSUM Parameters,,text,IADINT,,Actual Dose Int Ipilimumab (mg/week),54,54,,
PAREXS,ADEXSUM Parameters,,text,INEXINF,,Number of Expected Infusions of Ipi ,55,55,,
PAREXS,ADEXSUM Parameters,,text,IEXCDOS,,Cumulative Expected Dose for Ipi (mg),56,56,,
PAREXS,ADEXSUM Parameters,,text,RLTRDURD,,Duration of Exposure for Nivo/Rela FDC (Days),57,57,,
PAREXS,ADEXSUM Parameters,,text,RLTRDURM,,Duration of Exposure for Nivo/Rela FDC (Months),58,58,,
PAREXS,ADEXSUM Parameters,,text,RLCUMDOS,,Cumulative Dose of Nivo/Rela FDC (mg),59,59,,
PAREXS,ADEXSUM Parameters,,text,RLNUMINF,,Number of Infusions of Nivo/Rela FDC ,60,60,,
PAREXS,ADEXSUM Parameters,,text,RLDOSAVG,,Average dose per Infusion Nivo/Rela FDC (mg/infusion) ,61,61,,
PAREXS,ADEXSUM Parameters,,text,RLNEXINF,,Number of Expected Infusions of Nivo/Rela FDC ,62,62,,
PAREXS,ADEXSUM Parameters,,text,RLEXCDOS,,Cumulative Expected Dose for Nivo/Rela FDC (mg),63,63,,
PAREXS,ADEXSUM Parameters,,text,RLDOSINT,,Percent Dose Intensity For Nivo/Rela FDC (%),64,64,,
PAREXS,ADEXSUM Parameters,,text,RAEREDS,,Number of AE Dose Reductions for Nivo/Rela FDC,65,65,,
PAREXS,ADEXSUM Parameters,,text,RNDOSRED,,Number of Dose Reductions for Nivo/Rela FDC,66,66,,
PAREXS,ADEXSUM Parameters,,text,RTT1RED,,Time to 1st Dose Red for Nivo/Rela FDC (Days),67,67,,
PAREXS,ADEXSUM Parameters,,text,RAEHLDS,,Number of AE Dose Holds for Nivo/Rela FDC,68,68,,
PAREXS,ADEXSUM Parameters,,text,RNDOSHLD,,Number of Dose Holds for Nivo/Rela FDC,69,69,,
PAREXS,ADEXSUM Parameters,,text,RTT1HLD,,Time to 1st Dose Hold for Nivo/Rela FDC (Days),70,70,,
PAREXS,ADEXSUM Parameters,,text,NMODANYR,,Number of Any Rela Dose Mods ,71,71,,
PAREXS,ADEXSUM Parameters,,text,NMODAER,,Number of Any Rela Dose Mods due to AE,72,72,,
PAREXS,ADEXSUM Parameters,,text,RTTFMOD,,Time to 1st Rela Dose AE Mod (Days),73,73,,
PAREXS,ADEXSUM Parameters,,text,RADINT,,Actual Dose Int Relatlimab (mg/week),74,74,,
PAREXS,ADEXSUM Parameters,,text,HLDAEDUR,,Duration of Dose Holds Due to AE,75,75,,
PAREXS,ADEXSUM Parameters,,text,TOTHLDAE,,Total Duration of Dose Holds Due to AE,76,76,,
PAREXS,ADEXSUM Parameters,,text,TOTDURN,,Total Duration of Any Treatment (Months),77,77,,
PAREXS,ADEXSUM Parameters,,text,NVDOSAVG,,Average dose per Inf Nivo (mg/infusion),78,78,,
PARLB,ADLB Parameters,C65047,text,ALB,C64431,Albumin (g/L),1,1,,
PARLB,ADLB Parameters,C65047,text,ALP,C64432,Alkaline Phosphatase (U/L),2,2,,
PARLB,ADLB Parameters,C65047,text,ALT,C64433,Alanine Aminotransferase (U/L),3,3,,
PARLB,ADLB Parameters,C65047,text,AST,C64467,Aspartate Aminotransferase (U/L),4,4,,
PARLB,ADLB Parameters,C65047,text,AMYLASE,C64434,Amylase (U/L),5,5,,
PARLB,ADLB Parameters,C65047,text,BICARB,C74667,Bicarbonate (mmol/L),6,6,,
PARLB,ADLB Parameters,C65047,text,BILI,C38037,Bilirubin (umol/L),7,7,Amylase (U/L),
PARLB,ADLB Parameters,C65047,text,CA,C64488,Calcium (mmol/L),8,8,,
PARLB,ADLB Parameters,C65047,text,CACR,C119272,Calcium Corrected (mmol/L),9,9,,
PARLB,ADLB Parameters,C65047,text,CL,C64495,Chloride (mmol/L),10,10,,
PARLB,ADLB Parameters,C65047,text,CREAT,C64547,Creatinine (umol/L),11,11,,
PARLB,ADLB Parameters,C65047,text,CREATCLR,C64547,Creatinine Clearance (mL/sec),12,12,,
PARLB,ADLB Parameters,C65047,text,GGT,C64847,Gamma Glutamyl Transferase (U/L),13,13,,
PARLB,ADLB Parameters,C65047,text,GLUC,C105585,Glucose (mmol/L),14,14,,
PARLB,ADLB Parameters,C65047,text,K,C64853,Potassium (mmol/L),15,15,,
PARLB,ADLB Parameters,C65047,text,LDH,C64855,Lactate Dehydrogenase (U/L),16,16,,
PARLB,ADLB Parameters,C65047,text,LIPASET,C117748,Lipase (U/L),17,17,,
PARLB,ADLB Parameters,C65047,text,MG,C64840,Magnesium (mmol/L),18,18,,
PARLB,ADLB Parameters,C65047,text,PHOS,C64857,Phosphate (mmol/L),19,19,,
PARLB,ADLB Parameters,C65047,text,PROT,C64858,Protein (g/L),20,20,,
PARLB,ADLB Parameters,C65047,text,SODIUM,C64809,Sodium (mmol/L),21,21,,
PARLB,ADLB Parameters,C65047,text,T4,C74794,Thyroxine (nmol/L),22,22,,
PARLB,ADLB Parameters,C65047,text,T4FR,C74786,"Thyroxine, Free (pmol/L)",23,23,,
PARLB,ADLB Parameters,C65047,text,TSH,C64813,Thyrotropin (mIU/L),24,24,,
PARLB,ADLB Parameters,C65047,text,UREAN,C125949,Urea Nitrogen (mmol/L),25,25,,
PARLB,ADLB Parameters,C65047,text,RBC,C51946,Erythrocytes (TI/L),30,26,,
PARLB,ADLB Parameters,C65047,text,HGB,C64848,Hemoglobin (g/L),31,27,,
PARLB,ADLB Parameters,C65047,text,HCT,C64796,Hematocrit (fraction of 1),32,28,,
PARLB,ADLB Parameters,C65047,text,PLAT,C51951,Platelets (GI/L),33,29,,
PARLB,ADLB Parameters,C65047,text,WBC,C51948,Leukocytes (GI/L),34,30,,
PARLB,ADLB Parameters,C65047,text,BASO,C64470,Basophils (GI/L),35,31,,
PARLB,ADLB Parameters,C65047,text,BASOLE,C64471,Basophils/Leukocytes (%),36,32,,
PARLB,ADLB Parameters,C65047,text,EOS,C64550,Eosinophils (GI/L),37,33,,
PARLB,ADLB Parameters,C65047,text,EOSLE,C64604,Eosinophils/Leukocytes (%),38,34,,
PARLB,ADLB Parameters,C65047,text,LYM,C51949,Lymphocytes (GI/L),39,35,,
PARLB,ADLB Parameters,C65047,text,LYMLE,C64820,Lymphocytes/Leukocytes (%),40,36,,
PARLB,ADLB Parameters,C65047,text,MONO,C64823,Monocytes (GI/L),41,37,,
PARLB,ADLB Parameters,C65047,text,MONOLE,C64824,Monocytes/Leukocytes (%),42,38,,
PARLB,ADLB Parameters,C65047,text,NEUT,C63321,Neutrophils (GI/L),43,39,,
PARLB,ADLB Parameters,C65047,text,NEUTLE,C64827,Neutrophils/Leukocytes (%),44,40,,
PARLB,ADLB Parameters,C65047,text,LEIM,C127625,Immature Leukocytes (GI/L),45,41,,
PARLB,ADLB Parameters,C65047,text,LEIMLE,C127626,Immature Leukocytes/Leukocytes (%),46,42,,
PARLB,ADLB Parameters,C65047,text,APTT,C38462,Activated Partial Thromboplastin Time (sec),50,43,,
PARLB,ADLB Parameters,C65047,text,INR,C64805,Prothrombin Intl. Normalized Ratio (RATIO),51,44,,
PARLB,ADLB Parameters,C65047,text,PT,C62656,Prothrombin Time (sec),52,45,,
PARLB,ADLB Parameters,C65047,text,CREATU,C64547,Urine Creatinine (mmol/L),60,46,,
PARLB,ADLB Parameters,C65047,text,PROTU,C64858,Urine Protein (mg/dL),61,47,,
PARLB,ADLB Parameters,C65047,text,PROTCRT,C79463,Urine Protein/Creatinine (mg/mmol),62,48,,
PARLB,ADLB Parameters,C65047,text,PROT24,,Protein in 24h,63,49,,
PARLB,ADLB Parameters,C65047,text,FSH,C74783,Follicle Stimulating Hormone (IU/L),70,50,,
PARLB,ADLB Parameters,C65047,text,CA19_9AG,C81982,Cancer Antigen 19-9 (U/mL),81,51,,
PARLB,ADLB Parameters,C65047,text,CEA,C81983,Carcinoembryonic Antigen (ug/L),82,52,,
PARLB,ADLB Parameters,C65047,text,CRP,,C Reactive Protein (mg/L),83,53,,
PARLB,ADLB Parameters,C65047,text,HBSAGQL,,"Hepatitis B Virus Surface Antigen, qual",84,54,,
PARLB,ADLB Parameters,C65047,text,HCABQL,,"Hepatitis C Virus Antibody, qual",85,55,,
PARLB,ADLB Parameters,C65047,text,LIPASE,,Triacylglycerol Lipase (U/L),86,56,,
PARLB,ADLB Parameters,C65047,text,MCH,,Ery. Mean Corpuscular Hemoglobin (pg),87,57,,
PARLB,ADLB Parameters,C65047,text,MCHC,,Ery. Mean Corpuscular Hemoglobin Concent (g/dL),88,58,,
PARLB,ADLB Parameters,C65047,text,MCV,,Ery. Mean Corpuscular Volume (fL),89,59,,
PARLB,ADLB Parameters,C65047,text,BILDIR,,Direct Bilirubin (umol/L),90,60,,
PARLB,ADLB Parameters,C65047,text,BILIND,,Indirect Bilirubin (umol/L),91,61,,
PARLB,ADLB Parameters,C65047,text,HCAB,,Hepatitis C Virus Antibody (RATIO),92,62,,
PARLB,ADLB Parameters,C65047,text,TROPONI,,Troponin I (ug/L),93,63,,
PARLB,ADLB Parameters,C65047,text,TROPIHS,,Troponin I High Sensitivity (ug/L),94,64,,
PARLB,ADLB Parameters,C65047,text,CK,,Creatine Kinase (U/L),95,65,,
PARLB,ADLB Parameters,C65047,text,PREGPOS,,Pregnancy Test,96,66,,
PARLB,ADLB Parameters,C65047,text,PSA,,Prostate Specific Antigen (ug/L),97,67,,
PARLB,ADLB Parameters,C65047,text,PSA1,,PSA Progression 1 (NG/ML),98,68,,
PARLB,ADLB Parameters,C65047,text,PSA2,,PSA Progression 2 (NG/ML),99,69,,
PARLB,ADLB Parameters,C65047,text,PSA3,,PSA Progression 3 (NG/ML),100,70,,
PARLB,ADLB Parameters,C65047,text,PSA4,,PSA Progression 4 (NG/ML),101,71,,
PARLB,ADLB Parameters,C65047,text,PTR,,Prothrombin Time Ratio,102,72,,
PARLB,ADLB Parameters,C65047,text,TESTOS,,Testosterone (nmol/L),103,73,,
PARLB,ADLB Parameters,C65047,text,CAION,,"Calcium, Ionized (mmol/L)",104,74,,
PARLB,ADLB Parameters,C65047,text,CRPHS,,C Reactive Protein High Sensitivity (mg/L),105,75,Update for duplicate with CRP,
PARLB,ADLB Parameters,C65047,text,HBSABQL,,"Hepatitis B Virus Surface Antibody, qual",106,76,,
PARLB,ADLB Parameters,C65047,text,NEUTB,,Neutrophils Band Form (GI/L),107,77,,
PARLB,ADLB Parameters,C65047,text,NEUTBLE,,Neutrophils Band Form/Leukocytes (%),108,78,,
PARLB,ADLB Parameters,C65047,text,NEUTSG,,"Neutrophils, Segmented (GI/L)",109,79,,
PARLB,ADLB Parameters,C65047,text,NEUTSGLE,,"Neutrophils, Segmented/Leukocytes (%)",110,80,,
PARLB,ADLB Parameters,C65047,text,TROPONT,,Troponin T (ug/L),111,81,,
PARLB,ADLB Parameters,C65047,text,TROPTHS,,Troponin T High Sensitivity (ug/L),112,82,,
PARLB,ADLB Parameters,C65047,text,HCRNAQL,,"Hepatitis C RNA, qual",113,83,,
PARLB,ADLB Parameters,C65047,text,APTTSTND,,Activated PTT/Standard (RATIO),114,84,,
PARLB,ADLB Parameters,C65047,text,ALPBS,,Bone Specific Alkaline Phosphatase (U/L),115,85,,
PARLB,ADLB Parameters,C65047,text,AMYLASEP,,"Amylase, Pancreatic (U/L)",116,86,,
PARLB,ADLB Parameters,C65047,text,HBSAG,,Hepatitis B Virus Surface Antigen,117,87,,
PARLB,ADLB Parameters,C65047,text,AFP,,Alpha Fetoprotein (ug/L),118,88,,
PARLB,ADLB Parameters,C65047,text,HBDNAQL,,"Hepatitis B DNA, qual",119,89,,
PARLB,ADLB Parameters,C65047,text,PSAP,,PSA Progression (NG/ML),120,90,,
PARLB,ADLB Parameters,C65047,text,HBSAB,,Hepatitis B Virus Surface Antibody (U/L),121,91,,
,,,,,,,,,,
,,,,,,,,,,
PRCAT,Procedure Category,,text,HISTORY OF LOCAL RADIATION THERAPY,,,,1,,
PRCAT,Procedure Category,,text,HISTORY OF SURGERIES AND PROCEDURES,,,,2,,
PRCAT,Procedure Category,,text,CONCOMITANT/SUBSEQUENT SURGERY AND PROCS,,,,3,,
PRCAT,Procedure Category,,text,IMAGING DETAILS,,,,4,,
PRCAT,Procedure Category,,text,PRIOR AND CONCOMITANT TRANSFUSIONS,,,,5,,
PRCAT,Procedure Category,,text,CONCOMITANT AND SUBSEQUENT LOCAL RADIATION THERAPY,,,,6,,
PROTVS,Protocol Version,,text,ORIGINAL,,,1,1,,
PROTVS,Protocol Version,,text,AMENDMENT 1.0,,,2,2,,
PRSITE,Procedure Site Type,,text,UNKNOWN,,,,1,,
PRSITE,Procedure Site Type,,text,SOFT TISSUE,,,,2,,
PRSITE,Procedure Site Type,,text,BONE,,,,3,,
RACE,Race,C74457,text,AMERICAN INDIAN OR ALASKA NATIVE,C41259,American Indian/Alaska Native,,1,,
RACE,Race,C74457,text,ASIAN,C41260,Asian,,2,,
RACE,Race,C74457,text,BLACK OR AFRICAN AMERICAN,C16352,Black/African American,,3,,
RACE,Race,C74457,text,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,C41219,Native Hawaiian or Other Pacific Islander,,4,,
RACE,Race,C74457,text,WHITE,C41261,White,,5,,
RACE,Race,C74457,text,MULTIPLE,,Multiple,,6,,
RACE,Race,C74457,text,OTHER,,Other,,7,,
RACE,Race,C74457,text,NOT REPORTED,,Not Reported,,8,,
RASSTAT,RAS Status,,text,Wild type,,,,1,,
RASSTAT,RAS Status,,text,Mutant,,,,2,,
RASSTAT2,RAS Status Mutations,,text,KRAS MUTATION,,KRAS mutation,,1,,
RASSTAT2,RAS Status Mutations,,text,NRAS  MUTATION,,NRAS mutation,,2,,
RASSTAT2,RAS Status Mutations,,text,RAS WILDTYPE,,RAS wildtype,,3,,
RASSTAT2,RAS Status Mutations,,text,UNKNOWN,,Unknown,,4,,
SBJTSTAT,Subject Trial Status,C124296,text,DISCONTINUED,C25484,Discontinued,,1,,
SBJTSTAT,Subject Trial Status,C124296,text,ONGOING,C53279,Ongoing,,2,,
SARCPCT,Sarcomatoid Feature Percentage,,text,< 50%,,,,1,,
SARCPCT,Sarcomatoid Feature Percentage,,text,>= 50%,,,,2,,
SARCPCT,Sarcomatoid Feature Percentage,,text,Unknown,,,,3,,
SEX,Sex,C66731,text,M,C20197,Male,,1,,
SEX,Sex,C66731,text,F,C16576,Female,,2,,
STAGE,Study Stage,,text,ESCALATION,,,,,,
STAGE,Study Stage,,text,EXPANSION,,,,,,
STAT,Completion Status,C66789,text,NOT DONE,C49484,,,,,
STRATAR,Strata used for Randomization,,text,liver:No|ras_status:Wild Type|region:Asia,,"Asia, Wild type, Liver metastasis = No",1,1,,
STRATAR,Strata used for Randomization,,text,liver:Yes|ras_status:Wild Type|region:Asia ,,"Asia, Wild type, Liver metastasis = Yes",2,2,,
STRATAR,Strata used for Randomization,,text,liver:No|ras_status:Mutant|region:Asia,,"Asia, Mutant, Liver metastasis = No",3,3,,
STRATAR,Strata used for Randomization,,text,liver:Yes|ras_status:Mutant|region:Asia,,"Asia, Mutant, Liver metastasis = Yes",4,4,,
